                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  2.663,                 1.5356,                0.87374,                0.56085,                0.37624,                0.40765,                0.10778,                 2.6376,                 1.5466,                0.83831,               0.001109,               0.001109,               0.001109
                     48,                 2.4608,                 1.4316,                0.85995,                0.69397,                0.51485,                 0.5103,                0.17433,                 2.0913,                 1.3207,                 0.7877,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.7029,                 1.4937,                0.88388,                0.64676,                0.45545,                0.49505,                0.15599,                 2.3128,                 1.2408,                0.80098,              0.0010694,              0.0010694,              0.0010694
                     50,                  2.635,                  1.494,                0.87644,                0.78568,                0.48515,                0.52842,                0.16297,                 2.2856,                 1.2114,                0.80813,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.4828,                 1.2978,                0.87636,                0.78716,                0.31683,                0.45999,                0.16188,                 2.1979,                 1.7255,                0.79624,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.5385,                 1.3241,                0.88102,                0.71387,                0.38614,                  0.474,                0.16951,                 2.2324,                  1.544,                0.79047,                0.00101,                0.00101,                0.00101
                     53,                 2.6369,                 1.4268,                0.86809,                 0.7258,                0.45545,                0.47457,                0.16453,                  2.163,                 1.2973,                0.78623,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.4669,                 1.2783,                0.85815,                0.80477,                0.46535,                0.53983,                0.17712,                 2.1603,                  1.196,                0.79461,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.4814,                 1.4152,                0.85167,                0.51938,                0.43564,                0.43829,                0.14076,                 2.2562,                 1.2855,                0.78975,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.4756,                 1.3869,                0.86625,                0.69181,                0.43564,                0.47053,                0.18557,                 2.0555,                 1.1899,                0.79217,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.3756,                 1.3229,                0.87178,                0.74773,                0.48515,                0.51031,                0.21026,                 2.1263,                 1.0645,                 0.7914,               0.000911,               0.000911,               0.000911
                     58,                 2.3589,                 1.2108,                0.86294,                0.83297,                0.51485,                0.56851,                0.20325,                 1.8723,                 1.0749,                0.78914,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.4373,                 1.3874,                0.86245,                0.72574,                0.55446,                0.55948,                0.19209,                 1.9904,                 1.0444,                0.79499,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.3714,                 1.2319,                0.86041,                0.74531,                0.37624,                0.49004,                0.19558,                 1.9643,                 1.5349,                0.79705,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.3433,                  1.282,                0.86835,                0.72284,                0.44554,                0.53298,                0.21181,                  2.009,                 1.2617,                 0.7904,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.4822,                 1.3796,                0.84809,                0.64882,                0.43906,                0.51276,                0.19173,                 2.0698,                 1.4351,                0.79468,               0.000812,               0.000812,               0.000812
                     63,                 2.2604,                 1.2041,                0.86232,                 0.7921,                0.52814,                0.57622,                0.22722,                 1.8672,                 1.0241,                0.78796,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.3133,                 1.1749,                0.85221,                0.76274,                0.51485,                 0.5972,                0.23462,                 1.8525,                 1.0108,                0.78782,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.3354,                 1.2519,                0.84745,                0.75676,                0.49505,                0.55736,                0.19174,                 1.9657,                 1.0935,                0.79071,              0.0007526,              0.0007526,              0.0007526
